stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
03A_1_S5,STOP_03A_1_S5,,21.001217,105.841291,,
03A_1_S6,STOP_03A_1_S6,,21.005167,105.841360,,
03A_1_S7,STOP_03A_1_S7,,21.009635,105.841207,,
03A_1_S8,STOP_03A_1_S8,,21.014366,105.841291,,
03A_1_S9,STOP_03A_1_S9,,21.023583,105.843891,,
03A_1_S10,STOP_03A_1_S10,,21.022159,105.848800,,
03A_1_S11,STOP_03A_1_S11,,21.019700,105.857274,,
03A_1_S12,STOP_03A_1_S12,,21.018633,105.860707,,
03A_1_S13,STOP_03A_1_S13,,21.022366,105.861324,,
03A_1_S14,STOP_03A_1_S14,,21.028416,105.858174,,
03A_1_S15,STOP_03A_1_S15,,21.032249,105.856273,,
03A_1_S16,STOP_03A_1_S16,,21.037816,105.852590,,
03A_1_S17,STOP_03A_1_S17,,21.042632,105.870607,,
03A_1_S18,STOP_03A_1_S18,,21.045932,105.875823,,
03A_1_S19,STOP_03A_1_S19,,21.049299,105.875807,,
03A_1_S20,STOP_03A_1_S20,,21.048163,105.878572,,
03A_2_S1,STOP_03A_2_S1,,21.048163,105.878572,,
03A_2_S2,STOP_03A_2_S2,,21.049782,105.883057,,
03A_2_S3,STOP_03A_2_S3,,21.045799,105.875123,,
03A_2_S4,STOP_03A_2_S4,,21.042601,105.870286,,
03A_2_S5,STOP_03A_2_S5,,21.037966,105.852824,,
03A_2_S6,STOP_03A_2_S6,,21.032383,105.855940,,
03A_2_S7,STOP_03A_2_S7,,21.025533,105.859457,,
03A_2_S8,STOP_03A_2_S8,,21.022483,105.861024,,
03A_2_S9,STOP_03A_2_S9,,21.018850,105.860407,,
03A_2_S10,STOP_03A_2_S10,,21.019750,105.857274,,
03A_2_S11,STOP_03A_2_S11,,21.020598,105.854340,,
03A_2_S12,STOP_03A_2_S12,,21.021752,105.850613,,
03A_2_S13,STOP_03A_2_S13,,21.023100,105.845857,,
03A_2_S14,STOP_03A_2_S14,,21.023535,105.841270,,
03A_2_S15,STOP_03A_2_S15,,21.015845,105.841176,,
03A_2_S16,STOP_03A_2_S16,,21.010400,105.841124,,
03A_2_S17,STOP_03A_2_S17,,21.005167,105.841041,,
03A_2_S18,STOP_03A_2_S18,,21.001200,105.841024,,
03A_2_S19,STOP_03A_2_S19,,20.993434,105.840924,,
03A_2_S20,STOP_03A_2_S20,,20.987850,105.840791,,
03A_2_S21,STOP_03A_2_S21,,20.984484,105.840757,,
03A_2_S22,STOP_03A_2_S22,,20.980366,105.841629,,
03B_1_S1,STOP_03B_1_S1,,20.964901,105.842391,,
03B_1_S2,STOP_03B_1_S2,,20.971297,105.841121,,
03B_1_S3,STOP_03B_1_S3,,20.980751,105.841357,,
03B_1_S4,STOP_03B_1_S4,,20.984922,105.841010,,
03B_1_S5,STOP_03B_1_S5,,20.989627,105.841102,,
03B_1_S6,STOP_03B_1_S6,,20.993634,105.841124,,
03B_1_S7,STOP_03B_1_S7,,20.997284,105.843291,,
03B_1_S8,STOP_03B_1_S8,,20.995834,105.852157,,
03B_1_S9,STOP_03B_1_S9,,20.995300,105.856674,,
03B_1_S10,STOP_03B_1_S10,,20.996015,105.860701,,
03B_1_S11,STOP_03B_1_S11,,20.996900,105.863257,,
03B_1_S12,STOP_03B_1_S12,,20.997884,105.866373,,
03B_1_S13,STOP_03B_1_S13,,21.030149,105.898773,,
03B_1_S14,STOP_03B_1_S14,,21.039866,105.904006,,
03B_1_S15,STOP_03B_1_S15,,21.050032,105.917806,,
03B_1_S16,STOP_03B_1_S16,,21.047182,105.919422,,
03B_1_S17,STOP_03B_1_S17,,21.043249,105.925472,,
03B_1_S18,STOP_03B_1_S18,,21.047549,105.923806,,
03B_1_S19,STOP_03B_1_S19,,21.045561,105.924327,,
03B_2_S1,STOP_03B_2_S1,,21.045561,105.924327,,
03B_2_S2,STOP_03B_2_S2,,21.043632,105.925122,,
03B_2_S3,STOP_03B_2_S3,,21.047149,105.919806,,
03B_2_S4,STOP_03B_2_S4,,21.050066,105.918106,,
03B_2_S5,STOP_03B_2_S5,,21.040516,105.904156,,
03B_2_S6,STOP_03B_2_S6,,21.030283,105.898506,,
03B_2_S7,STOP_03B_2_S7,,20.998117,105.866540,,
03B_2_S8,STOP_03B_2_S8,,20.997067,105.863557,,
03B_2_S9,STOP_03B_2_S9,,20.995967,105.860174,,
03B_2_S10,STOP_03B_2_S10,,20.995530,105.855717,,
03B_2_S11,STOP_03B_2_S11,,20.996034,105.850791,,
03B_2_S12,STOP_03B_2_S12,,20.996597,105.846268,,
03B_2_S13,STOP_03B_2_S13,,20.993434,105.840924,,
03B_2_S14,STOP_03B_2_S14,,20.987850,105.840791,,
03B_2_S15,STOP_03B_2_S15,,20.984484,105.840757,,
03B_2_S16,STOP_03B_2_S16,,20.980634,105.840691,,
03B_2_S17,STOP_03B_2_S17,,20.976517,105.840624,,
03B_2_S18,STOP_03B_2_S18,,20.972034,105.840607,,
03B_2_S19,STOP_03B_2_S19,,20.965128,105.841673,,
03B_2_S20,STOP_03B_2_S20,,20.960314,105.842027,,
03B_2_S21,STOP_03B_2_S21,,20.964901,105.842391,,
04_1_S1,STOP_04_1_S1,,21.042899,105.848073,,
04_1_S2,STOP_04_1_S2,,21.041682,105.849091,,
04_1_S3,STOP_04_1_S3,,21.033716,105.854257,,
04_1_S4,STOP_04_1_S4,,21.028366,105.855490,,
04_1_S5,STOP_04_1_S5,,21.021633,105.857774,,
04_1_S6,STOP_04_1_S6,,21.016683,105.858340,,
04_1_S7,STOP_04_1_S7,,21.014150,105.859057,,
04_1_S8,STOP_04_1_S8,,21.011837,105.859044,,
04_1_S9,STOP_04_1_S9,,21.006967,105.860724,,
04_1_S10,STOP_04_1_S10,,21.002369,105.861169,,
04_1_S11,STOP_04_1_S11,,20.997784,105.861640,,
04_1_S12,STOP_04_1_S12,,20.992434,105.862240,,
04_1_S13,STOP_04_1_S13,,20.990734,105.864257,,
04_1_S14,STOP_04_1_S14,,20.986567,105.869207,,
04_1_S15,STOP_04_1_S15,,20.984884,105.872590,,
