route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
05_2,FULLW,05_2_MD_24,,,,
05_2,FULLW,05_2_MD_25,,,,
05_2,FULLW,05_2_MD_26,,,,
05_2,FULLW,05_2_MD_27,,,,
05_2,FULLW,05_2_MD_28,,,,
05_2,FULLW,05_2_MD_29,,,,
06A_1,FULLW,06A_1_MD_1,,,,
06A_1,FULLW,06A_1_MD_2,,,,
06A_1,FULLW,06A_1_MD_3,,,,
06A_1,FULLW,06A_1_MD_4,,,,
06A_1,FULLW,06A_1_MD_5,,,,
06A_1,FULLW,06A_1_MD_6,,,,
06A_1,FULLW,06A_1_MD_7,,,,
06A_1,FULLW,06A_1_MD_8,,,,
06A_1,FULLW,06A_1_MD_9,,,,
06A_1,FULLW,06A_1_MD_10,,,,
06A_1,FULLW,06A_1_MD_11,,,,
06A_1,FULLW,06A_1_MD_12,,,,
06A_1,FULLW,06A_1_MD_13,,,,
06A_1,FULLW,06A_1_MD_14,,,,
06A_1,FULLW,06A_1_MD_15,,,,
06A_1,FULLW,06A_1_MD_16,,,,
06A_1,FULLW,06A_1_MD_17,,,,
06A_1,FULLW,06A_1_MD_18,,,,
06A_1,FULLW,06A_1_MD_19,,,,
06A_1,FULLW,06A_1_MD_20,,,,
06A_1,FULLW,06A_1_MD_21,,,,
06A_1,FULLW,06A_1_MD_22,,,,
06A_1,FULLW,06A_1_MD_23,,,,
06A_1,FULLW,06A_1_MD_24,,,,
06A_1,FULLW,06A_1_MD_25,,,,
06A_1,FULLW,06A_1_MD_26,,,,
06A_1,FULLW,06A_1_MD_27,,,,
06A_1,FULLW,06A_1_MD_28,,,,
06A_1,FULLW,06A_1_MD_29,,,,
06A_1,FULLW,06A_1_MD_30,,,,
06A_1,FULLW,06A_1_MD_31,,,,
06A_1,FULLW,06A_1_MD_32,,,,
06A_1,FULLW,06A_1_MD_33,,,,
06A_1,FULLW,06A_1_MD_34,,,,
06A_1,FULLW,06A_1_MD_35,,,,
06A_1,FULLW,06A_1_MD_36,,,,
06A_1,FULLW,06A_1_MD_37,,,,
06A_1,FULLW,06A_1_MD_38,,,,
06A_1,FULLW,06A_1_MD_39,,,,
06A_1,FULLW,06A_1_MD_40,,,,
06A_1,FULLW,06A_1_MD_41,,,,
06A_1,FULLW,06A_1_MD_42,,,,
06A_1,FULLW,06A_1_MD_43,,,,
06A_2,FULLW,06A_2_MD_1,,,,
06A_2,FULLW,06A_2_MD_2,,,,
06A_2,FULLW,06A_2_MD_3,,,,
06A_2,FULLW,06A_2_MD_4,,,,
06A_2,FULLW,06A_2_MD_5,,,,
06A_2,FULLW,06A_2_MD_6,,,,
06A_2,FULLW,06A_2_MD_7,,,,
06A_2,FULLW,06A_2_MD_8,,,,
06A_2,FULLW,06A_2_MD_9,,,,
06A_2,FULLW,06A_2_MD_10,,,,
06A_2,FULLW,06A_2_MD_11,,,,
06A_2,FULLW,06A_2_MD_12,,,,
06A_2,FULLW,06A_2_MD_13,,,,
06A_2,FULLW,06A_2_MD_14,,,,
06A_2,FULLW,06A_2_MD_15,,,,
06A_2,FULLW,06A_2_MD_16,,,,
06A_2,FULLW,06A_2_MD_17,,,,
06A_2,FULLW,06A_2_MD_18,,,,
06A_2,FULLW,06A_2_MD_19,,,,
06A_2,FULLW,06A_2_MD_20,,,,
06A_2,FULLW,06A_2_MD_21,,,,
06A_2,FULLW,06A_2_MD_22,,,,
06A_2,FULLW,06A_2_MD_23,,,,
06A_2,FULLW,06A_2_MD_24,,,,
06A_2,FULLW,06A_2_MD_25,,,,
06A_2,FULLW,06A_2_MD_26,,,,
06A_2,FULLW,06A_2_MD_27,,,,
06A_2,FULLW,06A_2_MD_28,,,,
06A_2,FULLW,06A_2_MD_29,,,,
06A_2,FULLW,06A_2_MD_30,,,,
06A_2,FULLW,06A_2_MD_31,,,,
06A_2,FULLW,06A_2_MD_32,,,,
06A_2,FULLW,06A_2_MD_33,,,,
06A_2,FULLW,06A_2_MD_34,,,,
06A_2,FULLW,06A_2_MD_35,,,,
06A_2,FULLW,06A_2_MD_36,,,,
06A_2,FULLW,06A_2_MD_37,,,,
06A_2,FULLW,06A_2_MD_38,,,,
06A_2,FULLW,06A_2_MD_39,,,,
06A_2,FULLW,06A_2_MD_40,,,,
06A_2,FULLW,06A_2_MD_41,,,,
06A_2,FULLW,06A_2_MD_42,,,,
06A_2,FULLW,06A_2_MD_43,,,,
06B_1,FULLW,06B_1_MD_1,,,,
06B_1,FULLW,06B_1_MD_2,,,,
06B_1,FULLW,06B_1_MD_3,,,,
06B_1,FULLW,06B_1_MD_4,,,,
06B_1,FULLW,06B_1_MD_5,,,,
06B_1,FULLW,06B_1_MD_6,,,,
06B_1,FULLW,06B_1_MD_7,,,,
06B_1,FULLW,06B_1_MD_8,,,,
06B_1,FULLW,06B_1_MD_9,,,,
06B_1,FULLW,06B_1_MD_10,,,,
06B_1,FULLW,06B_1_MD_11,,,,
06B_1,FULLW,06B_1_MD_12,,,,
06B_2,FULLW,06B_2_MD_1,,,,
06B_2,FULLW,06B_2_MD_2,,,,
06B_2,FULLW,06B_2_MD_3,,,,
06B_2,FULLW,06B_2_MD_4,,,,
06B_2,FULLW,06B_2_MD_5,,,,
06B_2,FULLW,06B_2_MD_6,,,,
06B_2,FULLW,06B_2_MD_7,,,,
06B_2,FULLW,06B_2_MD_8,,,,
06B_2,FULLW,06B_2_MD_9,,,,
06B_2,FULLW,06B_2_MD_10,,,,
06B_2,FULLW,06B_2_MD_11,,,,
